ts,symbol,equity,market_open,size_usdc,mid_price,effective_price,exec_cost_bps,price_impact_pct,route,liquidity_usd
2026-09-13T08:41:11+00:00,AAPLx,AAPL,False,100,328.6165,334.0251,164.59,1.2791,Deriverse + Flux + Whirlpool,903604.0
2026-09-13T08:41:11+00:00,AAPLx,AAPL,False,1000,328.6165,334.2228,170.6,1.3375,Manifest + Scorch + Whirlpool,903604.0
2026-09-13T08:41:11+00:00,AAPLx,AAPL,False,10000,328.6165,334.5921,181.84,1.4464,Flux + Whirlpool + Raydium CLMM,903604.0
2026-09-13T08:41:11+00:00,TSLAx,TSLA,False,100,366.7469,365.1641,-43.16,0.0,Riptide,1340945.0
2026-09-13T08:41:11+00:00,TSLAx,TSLA,False,1000,366.7469,365.1644,-43.15,0.0,Riptide,1340945.0
2026-09-13T08:41:11+00:00,TSLAx,TSLA,False,10000,366.7469,365.1722,-42.94,0.0,Riptide,1340945.0
2026-09-13T08:41:11+00:00,NVDAx,NVDA,False,100,215.9551,216.5559,27.82,0.0891,Whirlpool,1855709.0
2026-09-13T08:41:11+00:00,NVDAx,NVDA,False,1000,215.9551,216.5977,29.76,0.1083,Riptide,1855709.0
2026-09-13T08:41:11+00:00,NVDAx,NVDA,False,10000,215.9551,216.6384,31.64,0.1271,Riptide + Whirlpool,1855709.0
2026-09-13T08:41:11+00:00,SPYx,SPY,False,100,762.0577,769.2501,94.38,0.3502,Raydium CLMM,4589729.0
2026-09-13T08:41:11+00:00,SPYx,SPY,False,1000,762.0577,769.2626,94.55,0.3518,Raydium CLMM,4589729.0
2026-09-13T08:41:11+00:00,SPYx,SPY,False,10000,762.0577,769.3646,95.88,0.365,Whirlpool + Raydium CLMM + Byreal,4589729.0
2026-09-13T08:41:11+00:00,MSTRx,MSTR,False,100,128.5639,128.7745,16.38,0.1438,Riptide,734879.0
2026-09-13T08:41:11+00:00,MSTRx,MSTR,False,1000,128.5639,128.7745,16.38,0.1438,Riptide,734879.0
2026-09-13T08:41:11+00:00,MSTRx,MSTR,False,10000,128.5639,128.822,20.07,0.1806,Riptide,734879.0
2026-09-13T08:41:11+00:00,METAx,META,False,100,647.0515,648.6734,25.07,0.002,PancakeSwap + Raydium CLMM,236051.0
2026-09-13T08:41:11+00:00,METAx,META,False,1000,647.0515,649.3791,35.97,0.1107,AlphaQ + Scorch + Raydium CLMM,236051.0
2026-09-13T08:41:11+00:00,METAx,META,False,10000,647.0515,650.5067,53.4,0.2838,Whirlpool + GoonFi V2 + Scorch + Raydium CLMM,236051.0
2026-09-13T08:41:11+00:00,GOOGLx,GOOGL,False,100,339.5576,340.416,25.28,0.0,GoonFi V2 + Raydium CLMM + Meteora DLMM,331207.0
2026-09-13T08:41:11+00:00,GOOGLx,GOOGL,False,1000,339.5576,340.4224,25.47,0.0,HumidiFi + Meteora DLMM,331207.0
2026-09-13T08:41:11+00:00,GOOGLx,GOOGL,False,10000,339.5576,341.1369,46.51,0.2076,Raydium CLMM + Byreal + HumidiFi + Meteora DLMM,331207.0
2026-09-13T08:41:11+00:00,AMZNx,AMZN,False,100,255.4034,256.1137,27.81,0.2586,HumidiFi + Raydium CLMM,239792.0
2026-09-13T08:41:11+00:00,AMZNx,AMZN,False,1000,255.4034,256.5867,46.33,0.4425,Byreal,239792.0
2026-09-13T08:41:11+00:00,AMZNx,AMZN,False,10000,255.4034,256.8088,55.03,0.5286,Raydium CLMM + Byreal + Whirlpool,239792.0
